logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Travessa Amintas Barros,,Lagoa Nova,Natal,RN,59054-475,-35.2224148,-5.814825
Travessa Amintas Barros,,Nossa Senhora de Nazaré,Natal,RN,59062-198,-35.2348036,-5.812086
Rua Amparo da Serra,,Neópolis,Natal,RN,59084-050,-35.1985474,-5.8677323
Rua Ampére,,Potengi,Natal,RN,59124-680,-35.2414766,-5.7512161
Rua Amália Nascimento,,Ponta Negra,Natal,RN,59090-657,-35.1727858,-5.8843563
Avenida Amélia Cristina,,Lagoa Azul,Natal,RN,59139-410,-35.2690516,-5.7274972
Rua Américo Soares Wanderley,,Capim Macio,Natal,RN,59082-060,-35.2023029,-5.8580854
Rua Ana Angelina de Macedo,,Candelária,Natal,RN,59065-120,-35.2174164,-5.8380343
Travessa Ana Maria,,Alecrim,Natal,RN,59037-040,-35.2227442,-5.7994907
Rua Ana Medeiros,,Barro Vermelho,Natal,RN,59030-340,-35.2094646,-5.7946752
Rua Ana Néri,339,Petrópolis,Natal,RN,59012-230,-35.2004207,-5.7829457
Rua Ana Néri,341,Petrópolis,Natal,RN,59020-040,-35.2004207,-5.7829457
Rua Ana Paula Barbosa,,Guarapes,Natal,RN,59074-846,-35.2654022,-5.8363398
Rua Ana Porto,,Ponta Negra,Natal,RN,59090-010,-35.1821599,-5.8660526
Rua Ana Santana,,Ponta Negra,Natal,RN,59090-655,-35.1739613,-5.8844754
Rua Analândia,,Pitimbu,Natal,RN,59069-180,-35.2431204,-5.8452761
Rua Ananias Xavier de Souza,,Nossa Senhora da Apresentação,Natal,RN,59114-030,-35.2656794,-5.7554818
Rua Anatália de Melo Alves,,Planalto,Natal,RN,59073-224,-35.25504,-5.8458489
Rua Andaluzia,,Pajuçara,Natal,RN,59132-640,-35.2437842,-5.7344167
Rua Andrelândia,,Neópolis,Natal,RN,59084-150,-35.2018051,-5.8660859
Rua André Matias,,Nossa Senhora da Apresentação,Natal,RN,59114-181,-35.2758068,-5.738929
Praça André de Albuquerque,,Cidade Alta,Natal,RN,59025-580,-35.20898754635754,-5.785090800000001
Rua Angelina,,Potengi,Natal,RN,59112-330,-35.2601706,-5.7535873
Rua Angicos,,Lagoa Nova,Natal,RN,59063-330,-35.216447,-5.8255256
1ª Travessa Angra dos Reis,,Potengi,Natal,RN,59127-321,-35.2502048,-5.7470305
Rua Angra dos Reis,,Potengi,Natal,RN,59127-320,-35.2526875,-5.7569949
Rua Angra dos Reis,,Potengi,Natal,RN,59110-620,-35.2526875,-5.7569949
Rua Anita Garibaldi,,Cidade da Esperança,Natal,RN,59071-410,-35.2407006,-5.8213345
Rua Anita Marques,,Lagoa Azul,Natal,RN,59139-755,-35.2690811,-5.7157356
Rua Anitápolis,,Potengi,Natal,RN,59112-290,-35.2618818,-5.7528377
Avenida Antoine de Saint' Exupéry,,Pitimbu,Natal,RN,59066-430,-35.2224933,-5.8601087
Avenida Antoine de Saint' Exupéry,,Candelária,Natal,RN,59066-842,-35.2223208,-5.8601036
Rua Antomar de Brito Freitas,,Candelária,Natal,RN,59064-590,-35.214165,-5.8400213
Rua Antonina,,Potengi,Natal,RN,59124-120,-35.2462697,-5.7481717
Travessa Antonio Lourenço,,Ponta Negra,Natal,RN,59090-576,-35.1760948,-5.890294
Alameda Antártica,,Candelária,Natal,RN,59064-746,-35.213259,-5.844753
Rua Antídio de Azevedo,,Lagoa Nova,Natal,RN,59056-190,-35.2088977,-5.8183285
Rua Antônia Dantas,,Nossa Senhora da Apresentação,Natal,RN,59114-259,-35.2768401,-5.7340745
Rua Antônia Santana,,Nossa Senhora da Apresentação,Natal,RN,59114-266,-35.2775905,-5.7342226
1ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,59114-859,-35.2729489,-5.7367513
2ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,59114-854,-35.2729489,-5.7367513
3ª Travessa Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,59114-851,-35.2729489,-5.7367513
Rua Antônia de Morais,,Nossa Senhora da Apresentação,Natal,RN,59114-121,-35.2753656,-5.7352554
Rua Antônio Alves,,Lagoa Azul,Natal,RN,59139-370,-35.2689783,-5.7345369
Rua Antônio Baracho da Costa,,Lagoa Azul,Natal,RN,59139-545,-35.2731335,-5.7259139
Rua Antônio Barateiro Sobrinho,,Lagoa Nova,Natal,RN,59054-470,-35.2221555,-5.8149188
Avenida Antônio Basílio,3748,Lagoa Nova,Natal,RN,59056-285,-35.2089333,-5.8143778
Avenida Antônio Basílio,3126,Lagoa Nova,Natal,RN,59056-005,-35.2089333,-5.8143778
Avenida Antônio Basílio,2554,Lagoa Nova,Natal,RN,59054-735,-35.2089333,-5.8143778
Avenida Antônio Basílio,1028,Dix-Sept Rosado,Natal,RN,59052-465,-35.2185492,-5.8108456
Avenida Antônio Basílio,280,Quintas,Natal,RN,59050-005,-35.2319124,-5.805875
Avenida Antônio Basílio,1033,Dix-Sept Rosado,Natal,RN,59052-475,-35.2185492,-5.8108456
Avenida Antônio Basílio,1915,Lagoa Nova,Natal,RN,59054-605,-35.2089333,-5.8143778
Avenida Antônio Basílio,2567,Lagoa Nova,Natal,RN,59054-725,-35.2089333,-5.8143778
Avenida Antônio Basílio,3177,Lagoa Nova,Natal,RN,59056-015,-35.2089333,-5.8143778
Avenida Antônio Basílio,3767,Lagoa Nova,Natal,RN,59056-275,-35.2089333,-5.8143778
Avenida Antônio Basílio,4071,Nova Descoberta,Natal,RN,59056-425,-35.2019327,-5.8168723
Avenida Antônio Basílio,479,Quintas,Natal,RN,59050-000,-35.2319124,-5.805875
Avenida Antônio Basílio,388,Bom Pastor,Natal,RN,59052-000,-35.2320392,-5.8059584
Avenida Antônio Basílio,1914,Lagoa Nova,Natal,RN,59054-380,-35.2089333,-5.8143778
Avenida Antônio Basílio 3006,,Lagoa Nova,Natal,RN,59056-901,-35.2089333,-5.8143778
Avenida Antônio Basílio,4084,Nova Descoberta,Natal,RN,59056-500,-35.2019327,-5.8168723
Travessa Antônio Basílio,,Lagoa Nova,Natal,RN,59056-385,-35.2154155,-5.8118454
Rua Antônio Batista de Araújo,,Lagoa Azul,Natal,RN,59139-520,-35.2729154,-5.7298978
Rua Antônio Carolino,,Felipe Camarão,Natal,RN,59074-330,-35.261424,-5.8262609
Rua Antônio Carolino,,Guarapes,Natal,RN,59074-578,-35.2687985,-5.8308401
